o,t,f
23,18,0.031578947368421054
2,0,0.0
10,0,0.0
4,0,0.0
2,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
5,0,0.0
2,0,0.0
2,0,0.0
2,0,0.0
2,458,0.8035087719298246
3,247,0.43333333333333335
3,270,0.47368421052631576
7,296,0.519298245614035
64,0,0.0
2,10857,0.9999079020077363
2,0,0.0
2,10857,0.9999079020077363
3,0,0.0
21,0,0.0
9,0,0.0
4,0,0.0
7,0,0.0
79,2,0.0001841959845275373
6,10724,0.987658869036655
3,6320,0.5820593111070179
8,10722,0.9874746730521274
3,133,0.012249032971081231
3,10709,0.9862773991526985
3,10819,0.996408178301713
2,10675,0.9831460674157303
478,1213,0.11171486461595137
136,6558,0.6039786332657948
149,7119,0.655645606925769
6,1427,0.13142383496039786
6,3407,0.3137778596426598
3,10732,0.9883956529747652
942,0,0.0
30,134448,0.9960955732543063
99,122945,0.9108723837747731
1587,78117,0.5787516206704946
4823,109010,0.8076310427857011
2003,20112,0.1490053713650676
719,7586,0.05620300055565845
2654,0,0.0
43,0,0.0
327,0,0.0
2385,20145,0.14924986108538618
2304,20145,0.14924986108538618
804,125814,0.9321281718836821
1082,121721,0.9018040377847749
1374,108442,0.8034228560844601
244,16298,0.12074828671976291
17,0,0.0
2,4197,0.9985724482512491
151,0,0.0
75,0,0.0
3,0,0.0
7,0,0.0
3,0,0.0
5,4197,0.9985724482512491
3,2118,0.5039257673090649
6,2,0.0004758505829169641
2,791,0.18819890554365928
8,4195,0.9980965976683321
7,4180,0.9945277182964549
2,2243,0.5336664287413752
4,2677,0.6369260052343564
23,3479,0.827742088984059
728,0,0.0
728,0,0.0
27,42071,0.9944687389197494
1127,26183,0.6189102942914549
1671,9752,0.23051648741283537
729,37167,0.8785486349131308
1005,35202,0.8321002245597447
5,42265,0.9990544852854273
655,3598,0.08504904857581846
1991,0,0.0
42,1,2.363786786431864e-05
262,0,0.0
1737,9776,0.23108379624157901
1673,9776,0.23108379624157901
1990,0,0.0
10,65724,0.9991031117461958
42,0,0.0
3,43242,0.6573430825593238
728,0,0.0
2,5310,0.6074124914207275
27,4,0.0004575611988103409
2,4160,0.4758636467627545
138,6465,0.7395332875772135
